CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
STOLEN VEHICLE,10/08/2014 12:00:00 AM,14-051356,VEHICLE THEFT - AUTO,10Y,4000 LINDEN ST,Oakland,CA,"4000 LINDEN ST
Oakland, CA
(37.83113487000048, -122.2765571169997)"
VANDALISM,10/14/2014 07:00:00 PM,14-052494,"VANDALISM [UNDER $1,000] (AMENDED)",35X,2200 96TH AV,Oakland,CA,"2200 96TH AV
Oakland, CA
(37.74993513400045, -122.16259752999969)"
DOMESTIC VIOLENCE,10/14/2014 12:30:00 AM,14-052371,THREAT CRIME:INT:TERRORIZE,27Y,2500 63RD AV,Oakland,CA,"2500 63RD AV
Oakland, CA
(37.76849608900045, -122.1888119409997)"
VANDALISM,10/14/2014 12:30:00 AM,14-052283,VANDALISM,12X,4700 TELEGRAPH AV,Oakland,CA,"4700 TELEGRAPH AV
Oakland, CA
(37.834360518000494, -122.26302695599969)"
BURG - AUTO,10/10/2014 05:00:00 PM,14-912223,BURGLARY-AUTO,14X,400 MACARTHUR BLVD,Oakland,CA,"400 MACARTHUR BLVD
Oakland, CA
(37.81085299300048, -122.24980477799971)"
GRAND THEFT,10/11/2014 09:00:00 AM,14-052374,GRAND THEFT:PROPERTY (AMENDED),26X,4800 OAKPORT ST,Oakland,CA,"4800 OAKPORT ST
Oakland, CA
(37.76352182900047, -122.21686156299972)"
VANDALISM,09/21/2014 12:00:00 AM,14-052493,VANDALISM,22Y,3600 BRUNELL DR,Oakland,CA,"3600 BRUNELL DR
Oakland, CA
(37.803573852000454, -122.18233957399968)"
BURG - AUTO,09/26/2014 01:00:00 AM,14-912217,BURGLARY-AUTO,27Y,5400 CRITTENDEN ST,Oakland,CA,"5400 CRITTENDEN ST
Oakland, CA
(37.76967602500048, -122.20398749299972)"
FRAUD,09/22/2014 10:45:00 AM,14-912332,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,10Y,800 ARLINGTON AV,Oakland,CA,"800 ARLINGTON AV
Oakland, CA
(37.842726824000465, -122.27056272399972)"
BURG - RESIDENTIAL,10/09/2014 04:30:00 PM,14-912229,BURGLARY-FORCIBLE ENTRY,10Y,800 59TH ST,Oakland,CA,"800 59TH ST
Oakland, CA
(37.844245696000485, -122.27086470599971)"
FRAUD,10/11/2014 11:35:00 AM,14-912261,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,30Y,7700 HILLMONT DR,Oakland,CA,"7700 HILLMONT DR
Oakland, CA
(37.76922806300047, -122.1656956649997)"
BURG - AUTO,10/13/2014 11:15:00 AM,14-912333,BURGLARY-AUTO,31X,8400 EDGEWATER DR,Oakland,CA,"8400 EDGEWATER DR
Oakland, CA
(37.73782612000048, -122.19925472599971)"
DISORDERLY CONDUCT,09/29/2014 08:30:00 AM,14-049492,DISTURB THE PEACE,32Y,2400 TAYLOR AV,Oakland,CA,"2400 TAYLOR AV
Oakland, CA
(37.74829756900044, -122.1576583049997)"
VANDALISM,10/04/2014 09:30:00 PM,14-912221,VANDALISM,15X,1600 4TH AV,Oakland,CA,"1600 4TH AV
Oakland, CA
(37.797906931000455, -122.2525930439997)"
BURG - COMMERCIAL,10/07/2014 05:00:00 PM,14-051243,BURGLARY-FORCIBLE ENTRY,04X,1900 FRANKLIN ST,Oakland,CA,"1900 FRANKLIN ST
Oakland, CA
(37.80736136100046, -122.26770802799967)"
PETTY THEFT,10/03/2014 07:00:00 AM,14-912255,THEFT,04X,1800 JACKSON ST,Oakland,CA,"1800 JACKSON ST
Oakland, CA
(37.804731423000476, -122.2634796429997)"
BURG - AUTO,10/10/2014 09:30:00 AM,14-912213,BURGLARY-AUTO,07X,2500 MANDELA PKWY,Oakland,CA,"2500 MANDELA PKWY
Oakland, CA
(37.81997057600046, -122.28891593199972)"
MISDEMEANOR ASSAULT,10/14/2014 07:15:00 PM,14-052490,BATTERY,12Y,6000 COLBY ST,Oakland,CA,"6000 COLBY ST
Oakland, CA
(37.84726492200048, -122.25644512299971)"
VANDALISM,10/14/2014 12:15:00 AM,14-052368,"VANDALISM [$400 TO $5,000]",30Y,8000 NEY AV,Oakland,CA,"8000 NEY AV
Oakland, CA
(37.76488607000044, -122.16481337799968)"
DOMESTIC VIOLENCE,10/14/2014 11:00:00 PM,14-052531,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,17X,1100 E 17TH ST,Oakland,CA,"1100 E 17TH ST
Oakland, CA
(37.79316298600048, -122.24586026199972)"
RECOVERED O/S STOLEN,10/13/2014 06:16:00 PM,14-052245,VEHICLE THEFT - AUTO,34X,9400 OLIVE ST,Oakland,CA,"9400 OLIVE ST
Oakland, CA
(37.75015052900045, -122.16598958199972)"
BURG - AUTO,10/11/2014 10:30:00 AM,14-912220,BURGLARY-AUTO,22X,4700 LINCOLN AV,Oakland,CA,"4700 LINCOLN AV
Oakland, CA
(37.810323919000496, -122.2002644699997)"
OTHER,10/13/2014 10:48:00 PM,14-052277,BUY/SELL/POSSESS VEHICLE WITH ALTERED NUMBER,24Y,2300 BARTLETT ST,Oakland,CA,"2300 BARTLETT ST
Oakland, CA
(37.78652327700047, -122.21462404899972)"
BRANDISHING,10/13/2014 10:45:00 PM,14-052272,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,20X,1700 27TH AV,Oakland,CA,"1700 27TH AV
Oakland, CA
(37.78324990600049, -122.22903694699971)"
GRAND THEFT,10/14/2014 06:15:00 PM,14-052470,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,11X,700 54TH ST,Oakland,CA,"700 54TH ST
Oakland, CA
(37.83920816700049, -122.26723278499969)"
FRAUD,10/08/2014 01:35:00 PM,14-051233,GET CREDIT/ETC OTHER'S ID,,1900 CALAVERAS CIR,Oakland,CA,"1900 CALAVERAS CIR
Oakland, CA
(37.78361489100047, -122.17947184699972)"
DOMESTIC VIOLENCE,10/13/2014 05:00:00 AM,14-052285,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,23X,3500 SAN LEANDRO ST,Oakland,CA,"3500 SAN LEANDRO ST
Oakland, CA
(37.77397634100049, -122.22408674499968)"
BURG - AUTO,10/11/2014 03:00:00 AM,14-912260,BURGLARY-AUTO,11X,5900 TELEGRAPH AV,Oakland,CA,"5900 TELEGRAPH AV
Oakland, CA
(37.845215012000494, -122.2611856099997)"
BURG - AUTO,10/10/2014 04:20:00 PM,14-912224,BURGLARY-AUTO,13Z,1900 MOUNTAIN BLVD,Oakland,CA,"1900 MOUNTAIN BLVD
Oakland, CA
(37.82911994000045, -122.21081706699971)"
MISDEMEANOR ASSAULT,10/14/2014 01:20:00 AM,14-052329,BATTERY,10Y,4400 WEST ST,Oakland,CA,"4400 WEST ST
Oakland, CA
(37.83337453600046, -122.27016415699973)"
GRAND THEFT,10/09/2014 09:13:00 AM,14-051398,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,05X,1000 18TH ST,Oakland,CA,"1000 18TH ST
Oakland, CA
(37.81168706900047, -122.2821536829997)"
FRAUD,10/01/2014 12:00:00 AM,14-051441,GET CREDIT/ETC OTHER'S ID,14X,200 GRAND AV,Oakland,CA,"200 GRAND AV
Oakland, CA
(37.81069842400046, -122.26098737399968)"
VANDALISM,10/10/2014 07:45:00 PM,14-912265,VANDALISM,04X,2000 FRANKLIN ST,Oakland,CA,"2000 FRANKLIN ST
Oakland, CA
(37.808883567000464, -122.2668859479997)"
VANDALISM,10/12/2014 12:00:00 PM,14-052420,VANDALISM,24X,2100 41ST AV,Oakland,CA,"2100 41ST AV
Oakland, CA
(37.77853015900047, -122.21101641199971)"
RECOVERED O/S STOLEN,10/14/2014 12:45:00 PM,14-052404,VEHICLE THEFT - AUTO,35X,8900 GOLF LINKS RD,Oakland,CA,"8900 GOLF LINKS RD
Oakland, CA
(37.75870903200047, -122.15525287599968)"
VANDALISM,10/14/2014 12:55:00 AM,14-052330,VANDALISM,03X,400 14TH ST,Oakland,CA,"400 14TH ST
Oakland, CA
(37.80395641000047, -122.27020912899968)"
BURG - RESIDENTIAL,10/14/2014 11:40:00 AM,14-052393,BURGLARY-FORCIBLE ENTRY,23X,1200 41ST AV,Oakland,CA,"1200 41ST AV
Oakland, CA
(37.77246109100048, -122.2179254939997)"
DOMESTIC VIOLENCE,10/14/2014 01:06:00 AM,14-052328,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,23X,1600 39TH AV,Oakland,CA,"1600 39TH AV
Oakland, CA
(37.775871845000495, -122.21771462699968)"
VANDALISM,10/10/2014 10:00:00 PM,14-912253,VANDALISM,06X,3700 MARKET ST,Oakland,CA,"3700 MARKET ST
Oakland, CA
(37.82727283200046, -122.2747364439997)"
BURG - OTHER,10/13/2014 11:43:00 PM,14-052280,BURGLARY-NO FORCE,15X,1800 LAKESHORE AV,Oakland,CA,"1800 LAKESHORE AV
Oakland, CA
(37.80062631500044, -122.25405068099968)"
BURG - AUTO,10/10/2014 03:00:00 PM,14-912225,BURGLARY-AUTO,12Y,400 51ST ST,Oakland,CA,"400 51ST ST
Oakland, CA
(37.83676822300049, -122.25836314299971)"
FRAUD,09/06/2014 12:00:00 AM,14-051463,GET CREDIT/ETC OTHER'S ID,30X,2300 HAVENSCOURT BLVD,Oakland,CA,"2300 HAVENSCOURT BLVD
Oakland, CA
(37.765296203000446, -122.18809406999969)"
BURG - AUTO,10/11/2014 12:00:00 AM,14-912233,BURGLARY-AUTO,01X,400 5TH ST,Oakland,CA,"400 5TH ST
Oakland, CA
(37.797659475000444, -122.27397168799968)"
VANDALISM,10/14/2014 01:39:00 PM,14-052414,VANDALISM-$400+,03X,100 10TH ST,Oakland,CA,"100 10TH ST
Oakland, CA
(37.79837375900047, -122.2646579629997)"
GRAND THEFT,10/02/2014 07:15:00 AM,14-912207,GRAND THEFT,17X,2000 9TH AV,Oakland,CA,"2000 9TH AV
Oakland, CA
(37.796856049000496, -122.24475291899972)"
ROBBERY,10/14/2014 04:15:00 AM,14-052293,ROBBERY-FIREARM,08X,300 HAWTHORNE AV,Oakland,CA,"300 HAWTHORNE AV
Oakland, CA
(37.82075741700049, -122.26112921299972)"
BURG - AUTO,10/04/2014 02:00:00 AM,14-912246,BURGLARY-AUTO,31Y,400 HALE AV,Oakland,CA,"400 HALE AV
Oakland, CA
(37.732861341000444, -122.1808234929997)"
STOLEN VEHICLE,10/13/2014 09:00:00 AM,14-052341,VEHICLE THEFT - AUTO,25X,3900 BROWN AV,Oakland,CA,"3900 BROWN AV
Oakland, CA
(37.794199156000445, -122.1946181399997)"
BURG - AUTO,10/10/2014 08:00:00 PM,14-912230,BURGLARY-AUTO,14Y,3600 GRAND AV,Oakland,CA,"3600 GRAND AV
Oakland, CA
(37.815140457000496, -122.24584758699973)"
FRAUD,10/08/2014 01:31:00 PM,14-051231,GET CREDIT/ETC OTHER'S ID,,1900 CALAVERAS CIR,Oakland,CA,"1900 CALAVERAS CIR
Oakland, CA
(37.78361489100047, -122.17947184699972)"
STOLEN VEHICLE,10/14/2014 06:00:00 AM,14-052434,VEHICLE THEFT - AUTO,10X,5600 LOWELL ST,Oakland,CA,"5600 LOWELL ST
Oakland, CA
(37.83991636500048, -122.27634040099969)"
BURG - RESIDENTIAL,10/12/2014 07:00:00 PM,14-912214,BURGLARY-FORCIBLE ENTRY,30Y,8100 NEY AV,Oakland,CA,"8100 NEY AV
Oakland, CA
(37.76408169700045, -122.16408627899972)"
BURG - AUTO,10/13/2014 10:15:00 PM,14-052351,BURGLARY-AUTO,03Y,1000 CASTRO ST,Oakland,CA,"1000 CASTRO ST
Oakland, CA
(37.804000346000464, -122.2787792899997)"
MISDEMEANOR ASSAULT,10/14/2014 05:00:00 AM,14-052295,BATTERY,18X,1600 E 20TH ST,Oakland,CA,"1600 E 20TH ST
Oakland, CA
(37.79249898700044, -122.24009810399969)"
BURG - AUTO,10/11/2014 12:00:00 AM,14-912238,BURGLARY-AUTO,12Y,5700 AYALA AV,Oakland,CA,"5700 AYALA AV
Oakland, CA
(37.84296536400046, -122.25893741699969)"
GRAND THEFT,10/13/2014 11:30:00 PM,14-052386,GRAND THEFT FROM PERSON,34X,1600 83RD AV,Oakland,CA,"1600 83RD AV
Oakland, CA
(37.75597424200049, -122.17670722099967)"
DOMESTIC VIOLENCE,10/13/2014 09:00:00 PM,14-052265,ELDER/DEP ADULT CRUELTY,13Z,6600 HEARTWOOD DR,Oakland,CA,"6600 HEARTWOOD DR
Oakland, CA
(37.83365260800048, -122.20397651099972)"
PETTY THEFT,10/08/2014 11:00:00 PM,14-912267,THEFT,10Y,800 43RD ST,Oakland,CA,"800 43RD ST
Oakland, CA
(37.83262772600045, -122.27050138099969)"
VANDALISM,10/11/2014 02:00:00 AM,14-912258,VANDALISM,24Y,4100 WALNUT ST,Oakland,CA,"4100 WALNUT ST
Oakland, CA
(37.783832960000495, -122.20444955799968)"
ROBBERY,10/14/2014 06:00:00 AM,14-052297,ROBBERY/INHABITED DWELLING - FIREARM,17X,1900 13TH AV,Oakland,CA,"1900 13TH AV
Oakland, CA
(37.79320064300049, -122.2424608549997)"
BURG - AUTO,10/14/2014 11:55:00 AM,14-052389,BURGLARY-AUTO,11X,500 63RD ST,Oakland,CA,"500 63RD ST
Oakland, CA
(37.84870766300048, -122.2608471859997)"
GRAND THEFT,10/13/2014 10:30:00 PM,14-912316,GRAND THEFT,31X,400 PENDLETON WY,Oakland,CA,"400 PENDLETON WY
Oakland, CA
(37.735705605000476, -122.20068505299969)"
STOLEN VEHICLE,10/13/2014 03:00:00 PM,14-052268,VEHICLE THEFT - AUTO,17Y,2200 10TH AV,Oakland,CA,"2200 10TH AV
Oakland, CA
(37.79738225100044, -122.24216927799972)"
STOLEN VEHICLE,10/13/2014 10:30:00 AM,14-052381,VEHICLE THEFT - AUTO,24Y,4000 ALLENDALE AV,Oakland,CA,"4000 ALLENDALE AV
Oakland, CA
(37.78508288100045, -122.20435684299969)"
STOLEN VEHICLE,09/15/2014 08:00:00 AM,14-052406,VEHICLE THEFT - AUTO,08X,2500 WEBSTER ST,Oakland,CA,"2500 WEBSTER ST
Oakland, CA
(37.814068835000455, -122.2647231149997)"
BURG - AUTO,10/09/2014 09:00:00 PM,14-912210,BURGLARY-AUTO,13Y,2500 TUNNEL RD,Oakland,CA,"2500 TUNNEL RD
Oakland, CA
(37.85628954600048, -122.2149100149997)"
NARCOTICS,10/12/2014 05:45:00 AM,14-052554,POSS CONTROLLED SUBSTANCE WHILE ARMED W/LOADED FIREARM,30X,7400 WELD ST,Oakland,CA,"7400 WELD ST
Oakland, CA
(37.76205731300047, -122.1812986379997)"
STOLEN VEHICLE,10/12/2014 08:00:00 PM,14-052155,VEHICLE THEFT - AUTO,30X,8100 BIRCH ST,Oakland,CA,"8100 BIRCH ST
Oakland, CA
(37.758754904000455, -122.17429857999969)"
BURG - AUTO,10/11/2014 12:40:00 AM,14-912239,BURGLARY-AUTO,04X,1600 CLAY ST,Oakland,CA,"1600 CLAY ST
Oakland, CA
(37.80667969600046, -122.27268599999968)"
MISDEMEANOR ASSAULT,10/13/2014 11:04:00 PM,14-052326,BATTERY,04X,2100 SAN PABLO AV,Oakland,CA,"2100 SAN PABLO AV
Oakland, CA
(37.811013467000464, -122.2733157729997)"
BURG - AUTO,10/13/2014 12:00:00 AM,14-912215,BURGLARY-AUTO,31Y,8400 ENTERPRISE WY,Oakland,CA,"8400 ENTERPRISE WY
Oakland, CA
(37.74398244600047, -122.19474964899968)"
STOLEN VEHICLE,10/13/2014 09:00:00 PM,14-052287,VEHICLE THEFT - AUTO,13Z,1100 GLENCOURT DR,Oakland,CA,"1100 GLENCOURT DR
Oakland, CA
(37.83760534300046, -122.19484528899972)"
VANDALISM,10/11/2014 12:40:00 AM,14-912257,VANDALISM,08X,2300 WEBSTER ST,Oakland,CA,"2300 WEBSTER ST
Oakland, CA
(37.812064928000495, -122.2651909169997)"
BURG - RESIDENTIAL,10/14/2014 08:20:00 AM,14-052355,BURGLARY-FORCIBLE ENTRY,24Y,2500 BARTLETT ST,Oakland,CA,"2500 BARTLETT ST
Oakland, CA
(37.788202381000474, -122.21171490799969)"
VANDALISM,10/12/2014 09:00:00 AM,14-912340,VANDALISM,31X,600 HEGENBERGER RD,Oakland,CA,"600 HEGENBERGER RD
Oakland, CA
(37.74563251400048, -122.19590538799969)"
PETTY THEFT,10/10/2014 03:30:00 PM,14-912234,THEFT,12X,4100 TELEGRAPH AV,Oakland,CA,"4100 TELEGRAPH AV
Oakland, CA
(37.83003465000047, -122.2641793569997)"
BURG - AUTO,10/10/2014 10:45:00 AM,14-912209,BURGLARY-AUTO,07X,3700 MANDELA PKWY,Oakland,CA,"3700 MANDELA PKWY
Oakland, CA
(37.828064580000444, -122.28792104099972)"
BURG - AUTO,10/13/2014 10:00:00 AM,14-912336,BURGLARY-AUTO,31X,8400 EDGEWATER DR,Oakland,CA,"8400 EDGEWATER DR
Oakland, CA
(37.73782612000048, -122.19925472599971)"
BURG - AUTO,10/12/2014 01:30:00 PM,14-912218,BURGLARY-AUTO,,OAKPORT ST,Oakland,CA,"OAKPORT ST
Oakland, CA
(37.765032723000445, -122.21839862599973)"
RECOVERED O/S STOLEN,10/14/2014 10:00:00 AM,14-052359,VEHICLE THEFT - AUTO,24X,3800 CARRINGTON ST,Oakland,CA,"3800 CARRINGTON ST
Oakland, CA
(37.78147308700045, -122.21266878399967)"
VANDALISM,09/28/2014 12:00:00 AM,14-049499,VANDALISM,34X,9400 HOLLY ST,Oakland,CA,"9400 HOLLY ST
Oakland, CA
(37.74764803400046, -122.1713617739997)"
DOMESTIC VIOLENCE,10/14/2014 10:01:00 PM,14-052512,BATTERY:SPOUSE/ETC,21X,2600 E 27TH ST,Oakland,CA,"2600 E 27TH ST
Oakland, CA
(37.79131529900047, -122.22215458299968)"
VANDALISM,10/14/2014 07:50:00 AM,14-052346,VANDALISM,33X,9600 E ST,Oakland,CA,"9600 E ST
Oakland, CA
(37.74313962400049, -122.17773017999968)"
BURG - AUTO,10/07/2014 09:00:00 PM,14-911923,BURGLARY-AUTO,08X,400 24TH ST,Oakland,CA,"400 24TH ST
Oakland, CA
(37.813330005000466, -122.26502247199971)"
BURG - AUTO,10/12/2014 01:00:00 PM,14-912226,BURGLARY-AUTO,26X,700 KEVIN CT,Oakland,CA,"700 KEVIN CT
Oakland, CA
(37.758084071000496, -122.20734869899968)"
FRAUD,10/10/2014 03:05:00 PM,14-912227,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,13Z,00 CASTLE PARK WY,Oakland,CA,"00 CASTLE PARK WY
Oakland, CA
(37.815653227000496, -122.19550653999971)"
FRAUD,09/08/2014 12:00:00 AM,14-051679,GET CREDIT/ETC OTHER'S ID,03Y,400 7TH ST,Oakland,CA,"400 7TH ST
Oakland, CA
(37.79908413700048, -122.27306541999968)"
PETTY THEFT,10/11/2014 12:00:00 AM,14-912231,THEFT,11X,6600 SHATTUCK AV,Oakland,CA,"6600 SHATTUCK AV
Oakland, CA
(37.85172540400049, -122.2660148229997)"
STOLEN VEHICLE,10/14/2014 05:15:00 AM,14-052296,VEHICLE THEFT - AUTO,25Y,6000 OLD QUARRY LOOP,Oakland,CA,"6000 OLD QUARRY LOOP
Oakland, CA
(37.77727134900044, -122.1635959189997)"
DOMESTIC VIOLENCE,10/14/2014 07:22:00 AM,14-052338,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,31Y,300 BURLWOOD AV,Oakland,CA,"300 BURLWOOD AV
Oakland, CA
(37.733766851000496, -122.18825555499973)"
NARCOTICS,10/14/2014 07:49:00 PM,14-052485,POSSESS CONTROLLED SUBSTANCE,08X,500 30TH ST,Oakland,CA,"500 30TH ST
Oakland, CA
(37.81907657400046, -122.26727317599972)"
VANDALISM,10/13/2014 11:30:00 PM,14-912355,VANDALISM,24X,4000 FOOTHILL BLVD,Oakland,CA,"4000 FOOTHILL BLVD
Oakland, CA
(37.777672862000486, -122.21512890599968)"
BURG - AUTO,10/10/2014 09:20:00 PM,14-912232,BURGLARY-AUTO,04X,500 18TH ST,Oakland,CA,"500 18TH ST
Oakland, CA
(37.798282574000496, -122.24995892799973)"
DOMESTIC VIOLENCE,10/12/2014 02:05:00 PM,14-051938,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,31X,7000 COLISEUM WY,Oakland,CA,"7000 COLISEUM WY
Oakland, CA
(37.74690486200046, -122.2008642019997)"
MISDEMEANOR ASSAULT,10/13/2014 09:00:00 AM,14-052256,BATTERY,27Y,6000 HOLWAY ST,Oakland,CA,"6000 HOLWAY ST
Oakland, CA
(37.76722281800045, -122.1950089129997)"
FELONY ASSAULT,10/12/2014 08:00:00 PM,14-052383,BATTERY W/SERIOUS BODILY INJURY,35X,8800 HILLSIDE ST,Oakland,CA,"8800 HILLSIDE ST
Oakland, CA
(37.75635230000046, -122.1636134369997)"
BURG - AUTO,10/12/2014 11:00:00 PM,14-912222,BURGLARY-AUTO,08X,2600 BROADWAY,Oakland,CA,"2600 BROADWAY
Oakland, CA
(37.81468285300048, -122.26466706099973)"
BURG - AUTO,10/10/2014 10:00:00 PM,14-912228,BURGLARY-AUTO,14Y,400 WICKSON AV,Oakland,CA,"400 WICKSON AV
Oakland, CA
(37.81215363500047, -122.24631632899968)"
STOLEN VEHICLE,10/13/2014 05:00:00 PM,14-052489,VEHICLE THEFT - AUTO,32Y,10900 MCINTYRE ST,Oakland,CA,"10900 MCINTYRE ST
Oakland, CA
(37.74168133900048, -122.14791630699972)"
VANDALISM,10/11/2014 07:30:00 PM,14-912245,VANDALISM,26X,5200 E 10TH ST,Oakland,CA,"5200 E 10TH ST
Oakland, CA
(37.76574674400047, -122.20989754699968)"
BURG - RESIDENTIAL,10/09/2014 11:20:00 PM,14-912211,BURGLARY-FORCIBLE ENTRY,14X,00 VERNON ST,Oakland,CA,"00 VERNON ST
Oakland, CA
(37.81607639300046, -122.25468060299971)"
MISDEMEANOR ASSAULT,10/14/2014 04:11:00 PM,14-052456,BATTERY,14Y,3700 GRAND AV,Oakland,CA,"3700 GRAND AV
Oakland, CA
(37.81647019000047, -122.2454166329997)"
ROBBERY,10/14/2014 06:30:00 PM,14-052482,CARJACKING WITH FIREARM,33X,9200 E ST,Oakland,CA,"9200 E ST
Oakland, CA
(37.74562074200048, -122.17960197999969)"
MISDEMEANOR ASSAULT,10/14/2014 08:48:00 PM,14-052495,BATTERY,04X,300 14TH ST,Oakland,CA,"300 14TH ST
Oakland, CA
(37.80297614400047, -122.2676855679997)"
FRAUD,10/15/2014 12:00:00 AM,14-052613,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,23X,4100 E 18TH ST,Oakland,CA,"4100 E 18TH ST
Oakland, CA
(37.77571254300045, -122.21442497899972)"
MISDEMEANOR ASSAULT,10/13/2014 04:30:00 PM,14-052253,BATTERY,33X,9600 E ST,Oakland,CA,"9600 E ST
Oakland, CA
(37.74313962400049, -122.17773017999968)"
NARCOTICS,10/14/2014 09:06:00 AM,14-052357,POSSESS NARCOTIC CONTROLLED SUBSTANCE,04X,1600 MARTIN LUTHER KING JR W,Oakland,CA,"1600 MARTIN LUTHER KING JR W
Oakland, CA
(37.80508210800048, -122.27306651899971)"
GRAND THEFT,10/10/2014 08:30:00 PM,14-912350,GRAND THEFT,12Y,6200 TELEGRAPH AV,Oakland,CA,"6200 TELEGRAPH AV
Oakland, CA
(37.84823629500045, -122.26075465599968)"
FELONY ASSAULT,10/13/2014 05:00:00 PM,14-052375,ANYONE WHO WILLFULLY DISCHARGES A FIREARM IN A GROSSLY NEGLIGENT MANNER,19X,600 E 12TH ST,Oakland,CA,"600 E 12TH ST
Oakland, CA
(37.794281164000495, -122.25385733399969)"
STOLEN VEHICLE,10/13/2014 07:00:00 PM,14-052354,VEHICLE THEFT - AUTO,29X,4000 EDWARDS,Oakland,CA,"4000 EDWARDS
Oakland, CA
(37.77522656700046, -122.1658919039997)"
BURG - COMMERCIAL,10/09/2014 03:00:00 PM,14-051658,BURGLARY-NO FORCE,07X,1000 W GRAND AV,Oakland,CA,"1000 W GRAND AV
Oakland, CA
(37.814977985000496, -122.28102329399968)"
NARCOTICS,10/15/2014 09:00:00 AM,14-052580,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,19X,2300 EMBARCADERO,Oakland,CA,"2300 EMBARCADERO
Oakland, CA
(37.77863961000048, -122.24238038399972)"
BURG - AUTO,10/10/2014 09:30:00 PM,14-912270,BURGLARY-AUTO,31X,8500 PARDEE DR,Oakland,CA,"8500 PARDEE DR
Oakland, CA
(37.730567030000486, -122.2021110979997)"
PETTY THEFT,08/31/2014 12:00:00 AM,14-049054,THEFT,09X,4400 PIEDMONT AV,Oakland,CA,"4400 PIEDMONT AV
Oakland, CA
(37.830387450000444, -122.24712200999971)"
THREATS,10/13/2014 07:35:00 AM,14-052334,THREAT CRIME:INT:TERRORIZE,33X,1000 89TH AV,Oakland,CA,"1000 89TH AV
Oakland, CA
(37.74756489000049, -122.1812368409997)"
BURG - AUTO,10/11/2014 01:20:00 PM,14-912259,BURGLARY-AUTO,04X,1700 SAN PABLO AV,Oakland,CA,"1700 SAN PABLO AV
Oakland, CA
(37.80739773200048, -122.27224984799972)"
DISORDERLY CONDUCT,10/13/2014 02:20:00 PM,14-052352,DISTURB THE PEACE,06X,800 31ST ST,Oakland,CA,"800 31ST ST
Oakland, CA
(37.8210379410005, -122.27341125299972)"
FRAUD,08/31/2014 12:00:00 AM,14-051677,GET CREDIT/ETC OTHER'S ID,03Y,400 7TH ST,Oakland,CA,"400 7TH ST
Oakland, CA
(37.79908413700048, -122.27306541999968)"
PETTY THEFT,10/10/2014 10:10:00 PM,14-912236,THEFT,77X,MYRTLE ST,Oakland,CA,"MYRTLE ST
Oakland, CA
(37.81242298400048, -122.28052787599972)"
VANDALISM,10/14/2014 03:00:00 PM,14-052467,VANDALISM (AMENDED),35X,2300 90TH AV,Oakland,CA,"2300 90TH AV
Oakland, CA
(37.75432532700046, -122.16409780099968)"
BURG - RESIDENTIAL,10/14/2014 07:50:00 AM,14-052442,BURGLARY-FORCIBLE ENTRY,23X,1600 33RD AV,Oakland,CA,"1600 33RD AV
Oakland, CA
(37.78004773400045, -122.22334323699971)"
BURG - AUTO,10/09/2014 02:27:00 PM,14-051454,BURGLARY-AUTO,31X,8400 EDGEWATER DR,Oakland,CA,"8400 EDGEWATER DR
Oakland, CA
(37.73782612000048, -122.19925472599971)"
BURG - RESIDENTIAL,10/08/2014 06:05:00 AM,14-051177,BURGLARY-FORCIBLE ENTRY,17X,800 E 19TH ST,Oakland,CA,"800 E 19TH ST
Oakland, CA
(37.79678477200048, -122.24663339999972)"
NARCOTICS,10/14/2014 06:27:00 PM,14-052473,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,06X,600 23RD ST,Oakland,CA,"600 23RD ST
Oakland, CA
(37.81311823100049, -122.27156160399971)"
BURG - AUTO,09/18/2014 11:47:00 AM,14-047555,BURGLARY-AUTO,01X,100 OAK ST,Oakland,CA,"100 OAK ST
Oakland, CA
(37.792717053000445, -122.26801864099968)"
STOLEN VEHICLE,10/14/2014 09:00:00 AM,14-052450,VEHICLE THEFT - AUTO,34X,1700 85TH AV,Oakland,CA,"1700 85TH AV
Oakland, CA
(37.75524484800047, -122.17383688699971)"
ROBBERY,10/13/2014 07:40:00 PM,14-052257,ATTEMPTED ROBBERY-STRONG-ARM,22Y,3600 MIDVALE AV,Oakland,CA,"3600 MIDVALE AV
Oakland, CA
(37.794393545000446, -122.20108912499973)"
