CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
STOLEN VEHICLE,08/23/2014 10:00:00 AM,14-042974,VEHICLE THEFT - AUTO,35X,8100 IDLEWOOD,Oakland,CA,"8100 IDLEWOOD
Oakland, CA
(37.76277961900047, -122.16664434399968)"
DISORDERLY CONDUCT,08/21/2014 01:30:00 PM,14-042394,DISTURB THE PEACE,30X,1800 73RD AV,Oakland,CA,"1800 73RD AV
Oakland, CA
(37.76140609900045, -122.18363473899973)"
NARCOTICS,08/24/2014 05:33:00 PM,14-042978,POSSESS MARIJUANA/HASHISH FOR SALE,33X,8900 B ST,Oakland,CA,"8900 B ST
Oakland, CA
(37.748827131000496, -122.17837062699971)"
VANDALISM,08/24/2014 08:20:00 PM,14-042998,VANDALISM-$400,02X,1100 POPLAR ST,Oakland,CA,"1100 POPLAR ST
Oakland, CA
(37.80803940900046, -122.29003550199968)"
ROBBERY,08/24/2014 09:48:00 PM,14-043000,ROBBERY-FIREARM,34X,9600 SUNNYSIDE ST,Oakland,CA,"9600 SUNNYSIDE ST
Oakland, CA
(37.748559309000484, -122.16337416799968)"
ROBBERY,08/21/2014 02:00:00 PM,14-042411,"ROBBERY/INHABITED DWELLING - STRONGARM (HANDS, FISTS, FEET)",21X,2400 E 21ST ST,Oakland,CA,"2400 E 21ST ST
Oakland, CA
(37.78738966900045, -122.2294951509997)"
DOMESTIC VIOLENCE,08/24/2014 10:00:00 PM,14-043001,INFLICT CRPL INJ SP/COHAB,02Y,800 CAMPBELL VILLAGE CT,Oakland,CA,"800 CAMPBELL VILLAGE CT
Oakland, CA
(37.80758417400045, -122.29962773899967)"
DOMESTIC VIOLENCE,08/24/2014 10:30:00 PM,14-043021,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,20X,2300 INTERNATIONAL BLVD,Oakland,CA,"2300 INTERNATIONAL BLVD
Oakland, CA
(37.78324529700046, -122.23559458299968)"
PETTY THEFT,08/21/2014 12:00:00 AM,14-042509,THEFT,03Y,400 7TH ST,Oakland,CA,"400 7TH ST
Oakland, CA
(37.79908413700048, -122.27306541999968)"
STOLEN VEHICLE,08/22/2014 12:00:00 AM,14-042514,VEHICLE THEFT - AUTO,01X,200 4TH ST,Oakland,CA,"200 4TH ST
Oakland, CA
(37.79516599900046, -122.26961445999973)"
PETTY THEFT,08/21/2014 12:00:00 AM,14-042349,THEFT,32X,1800 106TH AV,Oakland,CA,"1800 106TH AV
Oakland, CA
(37.74004394700046, -122.16207208899971)"
STOLEN VEHICLE,08/25/2014 07:15:00 AM,14-043045,VEHICLE THEFT - AUTO,19X,1100 7TH AV,Oakland,CA,"1100 7TH AV
Oakland, CA
(37.75503628500047, -122.18819316599968)"
STOLEN VEHICLE,08/24/2014 01:30:00 PM,14-043048,VEHICLE THEFT - AUTO,12X,800 54TH ST,Oakland,CA,"800 54TH ST
Oakland, CA
(37.838892786000486, -122.26970427899971)"
STOLEN VEHICLE,08/22/2014 08:00:00 PM,14-043054,SC STOLEN VEHICLE - AUTO,16Y,4000 EVERRET AV,Oakland,CA,"4000 EVERRET AV
Oakland, CA
(37.80397754900048, -122.21831893399968)"
VANDALISM,08/25/2014 08:29:00 AM,14-043055,VANDALISM,32Y,10000 MACARTHUR BLVD,Oakland,CA,"10000 MACARTHUR BLVD
Oakland, CA
(37.745874493000485, -122.15604335099971)"
STOLEN VEHICLE,08/25/2014 12:00:00 AM,14-043063,VEHICLE THEFT - AUTO,15X,400 VAN DYKE AV,Oakland,CA,"400 VAN DYKE AV
Oakland, CA
(37.80171396300045, -122.24533153899972)"
,08/25/2014 03:29:00 AM,14-043066,BURGLARY-FORCIBLE ENTRY,33X,800 92ND AVE,Oakland,CA,"800 92ND AVE
Oakland, CA
(37.74334606400049, -122.18456607999968)"
FELONY ASSAULT,08/25/2014 09:39:00 AM,14-043071,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,32X,1100 100TH AV,Oakland,CA,"1100 100TH AV
Oakland, CA
(37.74010501800046, -122.17414800299969)"
BURG - RESIDENTIAL,08/24/2014 11:30:00 PM,14-043078,BURGLARY-FORCIBLE ENTRY,35X,8400 GOLF LINKS RD,Oakland,CA,"8400 GOLF LINKS RD
Oakland, CA
(37.761937301000444, -122.16045313399968)"
BURG - RESIDENTIAL,08/20/2014 12:25:00 PM,14-042255,BURGLARY-FORCIBLE ENTRY,06X,2900 MARTIN LUTHER KING JR W,Oakland,CA,"2900 MARTIN LUTHER KING JR W
Oakland, CA
(37.80508210800048, -122.27306651899971)"
MISDEMEANOR ASSAULT,08/25/2014 11:29:00 AM,14-043081,BATTERY,20X,1500 FRUITVALE AV,Oakland,CA,"1500 FRUITVALE AV
Oakland, CA
(37.77880689200049, -122.22520174499971)"
MISDEMEANOR ASSAULT,08/25/2014 12:00:00 AM,14-043083,THREAT CRIME:INT:TERRORIZE,21X,2300 FOOTHILL BLVD,Oakland,CA,"2300 FOOTHILL BLVD
Oakland, CA
(37.785097013000495, -122.2338477239997)"
BURG - RESIDENTIAL,08/22/2014 09:02:00 AM,14-043084,BURGLARY-FORCIBLE ENTRY,18Y,2200 19TH AVE,Oakland,CA,"2200 19TH AVE
Oakland, CA
(37.79238980500048, -122.23525696399969)"
BURG - RESIDENTIAL,08/25/2014 10:45:00 AM,14-043085,BURGLARY-NO FORCE,31Z,300 GRAMERCY PL,Oakland,CA,"300 GRAMERCY PL
Oakland, CA
(37.729053482000495, -122.18162285499972)"
STOLEN VEHICLE,08/25/2014 03:55:00 PM,14-043126,VEHICLE THEFT - AUTO,27Y,5500 HARVEY AV,Oakland,CA,"5500 HARVEY AV
Oakland, CA
(37.771563254000455, -122.1972624389997)"
FELONY ASSAULT,08/25/2014 01:00:00 PM,14-043127,BATTERY W/SERIOUS BODILY INJURY,02X,100 MYRTLE ST,Oakland,CA,"100 MYRTLE ST
Oakland, CA
(37.79881068500049, -122.28543263399968)"
DOMESTIC VIOLENCE,08/25/2014 06:11:00 PM,14-043149,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,05X,2000 LINDEN ST,Oakland,CA,"2000 LINDEN ST
Oakland, CA
(37.813339441000494, -122.28237722499972)"
PETTY THEFT,08/25/2014 06:10:00 PM,14-043150,THEFT,20X,2400 E 12TH ST,Oakland,CA,"2400 E 12TH ST
Oakland, CA
(37.78184527400049, -122.23536412699968)"
STOLEN VEHICLE,08/25/2014 10:00:00 AM,14-043153,VEHICLE THEFT - AUTO,32X,1100 98TH AV,Oakland,CA,"1100 98TH AV
Oakland, CA
(37.74195624300046, -122.17556230099973)"
WEAPONS,08/25/2014 07:33:00 PM,14-043157,CARRY CONCEALED WEAPON IN VEH W/PRIOR CONVICTION,35X,8700 HILLSIDE ST,Oakland,CA,"8700 HILLSIDE ST
Oakland, CA
(37.757211793000465, -122.1639376339997)"
BURG - RESIDENTIAL,08/25/2014 06:15:00 AM,14-043159,BURGLARY-FORCIBLE ENTRY,32X,1400 TUCKER ST,Oakland,CA,"1400 TUCKER ST
Oakland, CA
(37.73846873500048, -122.1643980659997)"
NARCOTICS,08/26/2014 10:09:00 PM,14-043181,TRANSPORT/SELL NARCOTIC/CONTROLLED SUBSTANCE,06X,3200 SAN PABLO AV,Oakland,CA,"3200 SAN PABLO AV
Oakland, CA
(37.822604567000496, -122.27704438499973)"
GRAND THEFT,08/21/2014 03:00:00 PM,14-043182,THEFT,,00 ,Oakland,CA,"00
Oakland, CA
(37.80508210800048, -122.27306651899971)"
MISDEMEANOR ASSAULT,08/26/2014 11:17:00 PM,14-043185,BATTERY,01X,200 HARRISON ST,Oakland,CA,"200 HARRISON ST
Oakland, CA
(37.79482342400047, -122.27257245899972)"
DOMESTIC VIOLENCE,08/26/2014 06:50:00 AM,14-043211,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,23X,1700 36TH AV,Oakland,CA,"1700 36TH AV
Oakland, CA
(37.77987857900047, -122.21935348799968)"
STOLEN VEHICLE,08/20/2014 12:30:00 PM,14-042269,VEHICLE THEFT - AUTO,33X,1300 93RD AV,Oakland,CA,"1300 93RD AV
Oakland, CA
(37.747043213000495, -122.1746939249997)"
VANDALISM,08/20/2014 10:50:00 PM,14-042307,VANDALISM-$400+,02X,800 MANDELA PKWY,Oakland,CA,"800 MANDELA PKWY
Oakland, CA
(37.80557592500048, -122.29334393999972)"
STOLEN VEHICLE,08/20/2014 09:00:00 PM,14-042335,VEHICLE THEFT - AUTO,16X,1000 TRESTLE GLEN RD,Oakland,CA,"1000 TRESTLE GLEN RD
Oakland, CA
(37.80710790100045, -122.2368206109997)"
STOLEN VEHICLE,08/20/2014 06:00:00 PM,14-042336,VEHICLE THEFT - AUTO,14Y,00 MOSS AV,Oakland,CA,"00 MOSS AV
Oakland, CA
(37.821076029000494, -122.25379783899967)"
STOLEN VEHICLE,08/20/2014 11:30:00 PM,14-042337,VEHICLE THEFT - AUTO,33X,1000 81ST AV,Oakland,CA,"1000 81ST AV
Oakland, CA
(37.75293452300048, -122.18568695399972)"
BURG - RESIDENTIAL,08/22/2014 10:30:00 PM,14-042775,SC BURGLARY - NO FORCE,13Z,6100 GIRVIN DR,Oakland,CA,"6100 GIRVIN DR
Oakland, CA
(37.82623480200044, -122.19536081999968)"
STOLEN VEHICLE,08/29/2014 02:00:00 PM,14-041574,VEHICLE THEFT - AUTO,33X,8700 G ST,Oakland,CA,"8700 G ST
Oakland, CA
(37.74791461500047, -122.18451718299968)"
RECOVERED O/S STOLEN,08/23/2014 11:06:00 AM,14-042754,VEHICLE THEFT - AUTO,34X,1600 87TH AV,Oakland,CA,"1600 87TH AV
Oakland, CA
(37.75245517400049, -122.17412726199973)"
STOLEN VEHICLE,08/22/2014 09:00:00 PM,14-042756,VEHICLE THEFT - AUTO,30X,7800 BANCROFT AV,Oakland,CA,"7800 BANCROFT AV
Oakland, CA
(37.76341834700048, -122.17372985199972)"
